season;player_name;age;market_value[EUR];team_left;team_joined;transfer_fee[EUR]
14/15;Luis Suarez;27;52000000;Liverpool;Barcelona;81720000
14/15;James Rodriguez;23;60000000;Monaco;Real Madrid;75000000
14/15;Angel Di Maria;26;50000000;Real Madrid;Man Utd;75000000
14/15;David Luiz;27;26000000;Chelsea;Paris SG;49500000
14/15;Eliaquim Mangala;23;28000000;FC Porto;Man City;45000000
14/15;Alexis Sanchez;25;30000000;Barcelona;Arsenal;42500000
14/15;Diego Costa;25;35000000;Atletico Madrid;Chelsea;38000000
14/15;Luke Shaw;18;13000000;Southampton;Man Utd;37500000
14/15;Ander Herrera;24;20000000;Athletic;Man Utd;36000000
14/15;Romelu Lukaku;21;25000000;Chelsea;Everton;35360000
14/15;Cesc Fabregas;27;50000000;Barcelona;Chelsea;33000000
14/15;Wilfried Bony;26;17000000;Swansea;Man City;32299999
14/15;Andre Schurrle;24;23000000;Chelsea;VfL Wolfsburg;32000000
14/15;Juan Cuadrado;26;32000000;Fiorentina;Chelsea;31000000
14/15;Adam Lallana;26;7500000;Southampton;Liverpool;31000000
14/15;Antoine Griezmann;23;30000000;Real Sociedad;Atletico Madrid;30000000
14/15;Medhi Benatia;27;28000000;AS Roma;Bayern Munich;28000000
14/15;Dejan Lovren;25;12000000;Southampton;Liverpool;25300000
14/15;Toni Kroos;24;42000000;Bayern Munich;Real Madrid;25000000
14/15;Enzo Perez;28;23000000;Benfica;Valencia;25000000
14/15;Lazar Markovic;20;10000000;Benfica;Liverpool;25000000
14/15;Juan Iturbe;21;20000000;Hellas Verona;AS Roma;24500000
14/15;Sadio Mane;22;7500000;RB Salzburg;Southampton;23000000
14/15;Mario Mandzukic;28;30000000;Bayern Munich;Atletico Madrid;22000000
14/15;Calum Chambers;19;2000000;Southampton;Arsenal;20230000
14/15;Mario Balotelli;24;27000000;AC Milan;Liverpool;20000000
14/15;Danny Welbeck;23;17000000;Man Utd;Arsenal;20000000
14/15;Filipe Luis;28;15000000;Atletico Madrid;Chelsea;20000000
14/15;Jeremy Mathieu;30;12000000;Valencia;Barcelona;20000000
14/15;Marcos Rojo;24;12000000;Sporting CP;Man Utd;20000000
14/15;Alvaro Morata;21;12000000;Real Madrid;Juventus;20000000
14/15;Thomas Vermaelen;28;15000000;Arsenal;Barcelona;19000000
14/15;Ciro Immobile;24;18000000;Torino;Bor. Dortmund;18500000
14/15;Ivan Rakitic;26;20000000;Sevilla FC;Barcelona;18000000
14/15;Alberto Moreno;22;15000000;Sevilla FC;Liverpool;18000000
14/15;Daley Blind;24;12000000;Ajax;Man Utd;17500000
14/15;Javi Garcia;27;12000000;Man City;Zenit S-Pb;16800000
14/15;Jan Oblak;21;4000000;Benfica;Atletico Madrid;16000000
14/15;Bernardo Silva;20;3500000;Benfica;Monaco;15750000
14/15;Hakan Calhanoglu;20;7000000;Hamburger SV;B. Leverkusen;15250000
14/15;Juan Iturbe;21;20000000;FC Porto;Hellas Verona;15000000
14/15;Radja Nainggolan;26;18000000;Cagliari Calcio;AS Roma;15000000
14/15;Fernando;26;17500000;FC Porto;Man City;15000000
14/15;Everton Ribeiro;25;17000000;Cruzeiro;Al-Ahli (UAE);15000000
14/15;Ricardo Goulart;23;11000000;Cruzeiro;GZ Evergrande;15000000
14/15;Mathieu Debuchy;28;10000000;Newcastle;Arsenal;15000000
14/15;Gabriel Paulista;24;8000000;Villarreal;Arsenal;15000000
14/15;Konstantinos Manolas;23;6000000;Olympiacos;AS Roma;15000000
14/15;Enner Valencia;24;1600000;Pachuca;West Ham;15000000
14/15;Shane Long;27;6000000;Hull City;Southampton;14900000
14/15;Seydou Doumbia;27;25000000;CSKA Moscow;AS Roma;14400000
14/15;Alessio Cerci;27;18000000;Torino;Atletico Madrid;14000000
14/15;Dusan Tadic;25;10000000;Twente FC;Southampton;14000000
14/15;Ryan Bertrand;25;6000000;Chelsea;Southampton;13300000
14/15;Loic Remy;27;12000000;QPR;Chelsea;13200000
14/15;Lucas Silva;21;12000000;Cruzeiro;Real Madrid;13000000
14/15;Aymen Abdennour;24;6000000;Toulouse;Monaco;13000000
